id,person_id,event_id,registered_at,attended,ticket_amount
164,151,4,2025-03-19,yes,0
165,108,4,2025-05-01,yes,0
166,132,4,2025-03-11,yes,0
167,134,4,2025-04-15,no,0
168,199,4,2025-03-19,yes,0
169,165,4,2025-05-05,no,0
170,16,4,2025-04-15,no,0
171,10,4,2025-04-05,no,0
172,155,4,2025-04-02,yes,0
173,156,4,2025-04-23,yes,0
174,141,4,2025-05-08,yes,0
175,8,4,2025-05-05,no,0
176,4,4,2025-03-25,no,0
177,18,4,2025-04-05,no,0
178,83,4,2025-04-07,yes,0
179,31,4,2025-04-08,yes,0
180,67,4,2025-03-22,yes,0
181,33,4,2025-04-25,yes,0
182,103,4,2025-04-21,yes,0
183,180,4,2025-04-08,yes,0
184,72,4,2025-04-29,no,0
185,170,4,2025-04-04,yes,0
186,7,4,2025-03-21,yes,0
187,191,4,2025-04-16,no,0
188,90,4,2025-03-26,no,0
189,52,4,2025-04-21,yes,0
190,96,4,2025-04-12,yes,0
191,116,4,2025-04-07,no,0
192,73,4,2025-04-05,no,0
193,57,4,2025-04-15,yes,0
194,159,4,2025-04-14,yes,0
195,34,4,2025-04-03,yes,0
196,149,4,2025-04-05,yes,0
197,2,4,2025-03-16,yes,0
198,166,4,2025-03-29,no,0
199,43,4,2025-04-02,no,0
200,46,4,2025-04-11,yes,0
201,133,4,2025-03-26,no,0
202,143,4,2025-04-11,no,0
203,107,4,2025-04-01,yes,0
204,50,4,2025-04-20,yes,0
205,194,4,2025-04-08,yes,0
206,25,4,2025-04-17,no,0
207,21,4,2025-04-07,no,0
208,102,4,2025-04-10,yes,0
209,17,4,2025-05-05,no,0
210,28,4,2025-04-27,yes,0
211,49,4,2025-04-12,yes,0
212,173,4,2025-04-06,yes,0
213,39,4,2025-04-29,no,0
214,127,4,2025-04-04,yes,0
215,169,4,2025-05-01,yes,0
216,138,4,2025-04-17,yes,0
217,84,4,2025-04-03,no,0
218,117,4,2025-03-17,yes,0
219,59,4,2025-03-29,no,0
220,53,4,2025-05-02,yes,0
221,54,4,2025-03-15,yes,0
222,175,4,2025-03-31,yes,0
223,74,4,2025-03-12,yes,0
224,5,4,2025-04-21,yes,0
225,189,4,2025-05-01,yes,0
226,66,4,2025-03-23,no,0
227,181,4,2025-04-05,yes,0
228,118,5,2024-08-15,yes,0
229,155,5,2024-09-14,no,0
230,185,5,2024-08-04,yes,0
231,177,5,2024-08-15,yes,0
232,49,5,2024-08-30,no,0
233,72,5,2024-08-17,yes,0
234,10,5,2024-09-01,yes,0
235,182,5,2024-08-03,yes,0
236,100,5,2024-09-15,yes,0
237,199,5,2024-07-27,yes,0
238,191,5,2024-07-30,yes,0
239,55,5,2024-09-09,yes,0
240,175,5,2024-09-14,yes,0
241,91,5,2024-09-05,no,0
242,144,5,2024-07-31,no,0
243,195,5,2024-08-02,yes,0
244,66,5,2024-09-15,no,0
245,77,5,2024-08-25,yes,0
246,32,5,2024-09-06,no,0
247,112,5,2024-08-02,no,0
248,109,5,2024-08-23,yes,0
249,76,5,2024-08-20,yes,0
250,119,5,2024-09-20,yes,0
251,164,5,2024-09-21,yes,0
252,63,5,2024-09-07,no,0
253,145,5,2024-09-04,yes,0
254,122,5,2024-08-28,no,0
255,101,6,2024-10-03,yes,25
256,10,6,2024-09-29,no,25
257,16,6,2024-10-28,yes,25
258,7,6,2024-10-27,yes,25
259,9,6,2024-09-26,yes,25
260,38,6,2024-10-11,yes,25
261,77,6,2024-09-28,no,25
262,178,6,2024-10-23,yes,25
263,129,6,2024-10-17,yes,25
264,150,6,2024-09-10,yes,25
265,46,6,2024-09-28,yes,25
266,113,6,2024-10-22,yes,25
267,4,6,2024-10-08,yes,25
268,141,6,2024-09-14,no,25
269,31,6,2024-10-10,no,25
270,36,6,2024-11-02,yes,25
271,170,6,2024-09-21,no,25
272,58,6,2024-11-02,yes,25
273,6,6,2024-10-21,no,25
274,26,6,2024-09-25,yes,25
275,185,6,2024-10-23,yes,25
276,121,6,2024-09-05,yes,25
277,59,6,2024-09-12,yes,25
278,125,6,2024-10-28,yes,25
279,149,6,2024-09-17,yes,25
280,132,6,2024-10-11,yes,25
281,61,6,2024-09-17,yes,25
282,105,6,2024-09-18,yes,25
283,35,6,2024-09-20,no,25
284,22,6,2024-10-01,yes,25
285,84,6,2024-10-17,yes,25
286,130,6,2024-10-13,yes,25
287,184,6,2024-10-08,no,25
288,49,6,2024-10-29,yes,25
289,56,6,2024-09-24,yes,25
290,151,6,2024-10-29,no,25
291,80,6,2024-09-09,yes,25
292,173,6,2024-10-03,yes,25
293,134,6,2024-09-24,yes,25
294,8,6,2024-10-12,no,25
295,72,6,2024-11-02,yes,25
296,115,6,2024-10-09,no,25
297,112,6,2024-09-11,yes,25
298,126,6,2024-09-28,yes,25
299,158,6,2024-09-28,yes,25
300,45,6,2024-10-15,yes,25
301,190,6,2024-09-22,yes,25
302,146,6,2024-10-25,yes,25
303,123,6,2024-10-08,yes,25
304,167,6,2024-09-28,yes,25
305,118,6,2024-10-18,yes,25
306,28,6,2024-09-10,yes,25
307,144,6,2024-09-16,yes,25
308,54,6,2024-10-02,yes,25
309,17,6,2024-10-16,yes,25
310,83,6,2024-10-12,yes,25
311,52,6,2024-09-21,yes,25
312,143,6,2024-09-30,yes,25
313,20,6,2024-11-02,no,25
314,95,6,2024-09-13,yes,25
315,1,6,2024-09-06,yes,25
316,51,6,2024-09-10,yes,25
317,157,6,2024-10-25,yes,25
318,85,6,2024-09-16,yes,25
319,171,6,2024-10-04,no,25
320,50,6,2024-10-24,no,25
321,82,6,2024-10-04,yes,25
322,169,6,2024-09-10,yes,25
323,25,6,2024-09-18,yes,25
324,96,7,2025-02-04,no,0
325,135,7,2025-02-27,yes,0
326,46,7,2025-01-29,no,0
327,112,7,2025-01-18,yes,0
328,34,7,2025-02-05,no,0
329,86,7,2025-02-24,no,0
330,78,7,2025-02-09,yes,0
331,37,7,2025-02-13,no,0
332,192,7,2025-01-14,yes,0
333,166,7,2025-01-09,yes,0
334,146,7,2025-03-03,yes,0
335,151,7,2025-03-08,yes,0
336,17,7,2025-03-04,no,0
337,197,7,2025-01-27,no,0
338,9,7,2025-01-26,no,0
339,117,7,2025-03-02,no,0
340,19,7,2025-02-11,yes,0
341,163,7,2025-02-09,yes,0
342,188,7,2025-02-25,no,0
343,62,7,2025-03-04,yes,0
344,60,7,2025-02-26,no,0
345,30,7,2025-02-25,yes,0
346,66,7,2025-01-13,yes,0
347,23,7,2025-02-15,yes,0
348,172,7,2025-03-09,yes,0
349,39,7,2025-01-28,yes,0
350,150,7,2025-02-27,no,0
351,81,7,2025-02-26,yes,0
352,32,7,2025-02-16,no,0
353,173,7,2025-02-07,yes,0
354,1,7,2025-01-19,yes,0
355,145,7,2025-02-21,yes,0
356,114,7,2025-01-23,yes,0
357,77,7,2025-02-11,yes,0
358,185,7,2025-02-18,yes,0
359,157,7,2025-01-16,yes,0
360,158,7,2025-01-29,yes,0
361,122,7,2025-01-13,no,0
362,134,7,2025-02-19,yes,0
363,132,7,2025-01-12,no,0
364,189,7,2025-02-18,yes,0
365,56,7,2025-02-20,no,0
366,127,7,2025-02-24,yes,0
367,162,7,2025-02-03,yes,0
368,104,7,2025-03-05,yes,0
369,25,7,2025-01-21,no,0
370,59,7,2025-03-04,no,0
371,190,7,2025-03-02,no,0
372,43,7,2025-01-23,no,0
373,47,7,2025-02-27,yes,0
374,22,7,2025-01-14,no,0
375,2,7,2025-01-26,no,0
376,5,7,2025-01-09,yes,0
377,3,7,2025-02-05,yes,0
378,11,7,2025-02-19,yes,0
379,52,7,2025-01-13,yes,0
380,194,8,2024-09-24,yes,25
381,101,8,2024-09-28,yes,25
382,189,8,2024-08-20,yes,25
383,53,8,2024-08-04,yes,25
384,16,8,2024-08-10,yes,25
385,125,8,2024-09-08,yes,25
386,44,8,2024-08-14,no,25
387,17,8,2024-09-29,yes,25
388,149,8,2024-08-13,no,25
389,78,8,2024-08-06,no,25
390,94,8,2024-08-04,no,25
391,34,8,2024-08-22,no,25
392,54,8,2024-08-23,yes,25
393,148,8,2024-08-08,yes,25
394,178,8,2024-09-19,yes,25
395,161,8,2024-09-28,yes,25
396,91,8,2024-09-25,yes,25
397,170,8,2024-10-01,no,25
398,122,8,2024-08-23,no,25
399,153,8,2024-09-23,yes,25
400,151,8,2024-09-10,yes,25
401,127,8,2024-09-23,yes,25
402,10,8,2024-08-08,yes,25
403,25,8,2024-09-07,no,25
404,184,8,2024-10-01,yes,25
405,135,8,2024-08-07,yes,25
406,103,8,2024-09-06,yes,25
407,52,8,2024-08-22,yes,25
408,64,8,2024-08-24,no,25
409,157,8,2024-09-05,no,25
410,177,8,2024-09-05,yes,25
411,166,8,2024-09-24,yes,25
412,47,8,2024-08-16,yes,25
413,26,8,2024-08-25,no,25
414,18,8,2024-08-31,yes,25
415,95,8,2024-08-09,yes,25
416,19,8,2024-10-01,no,25
417,83,8,2024-08-13,yes,25
418,158,8,2024-08-23,yes,25
419,38,8,2024-09-18,yes,25
420,122,9,2025-08-15,no,75
421,151,9,2025-09-11,yes,75
422,165,9,2025-08-22,yes,75
423,64,9,2025-08-03,yes,75
424,104,9,2025-08-13,no,75
425,118,9,2025-09-25,yes,75
426,188,9,2025-08-25,no,75
427,29,9,2025-09-13,no,75
428,31,9,2025-08-17,yes,75
429,100,9,2025-09-01,no,75
430,139,9,2025-08-16,no,75
431,23,9,2025-08-13,no,75
432,41,9,2025-09-06,yes,75
433,46,9,2025-09-02,yes,75
434,92,9,2025-08-13,yes,75
435,183,9,2025-08-03,yes,75
436,96,9,2025-09-11,yes,75
437,107,9,2025-08-03,no,75
438,50,9,2025-09-02,no,75
439,13,9,2025-09-06,yes,75
440,37,9,2025-08-25,yes,75
441,9,9,2025-07-29,yes,75
442,110,9,2025-08-04,yes,75
443,103,9,2025-08-22,yes,75
444,136,9,2025-08-05,yes,75
445,5,9,2025-09-01,yes,75
446,99,9,2025-07-28,yes,75
447,35,9,2025-08-20,yes,75
448,159,9,2025-08-19,yes,75
449,74,9,2025-08-29,yes,75
450,176,9,2025-08-17,yes,75
451,28,9,2025-09-17,no,75
452,77,9,2025-08-30,yes,75
453,199,9,2025-08-18,no,75
454,61,9,2025-07-30,no,75
455,200,9,2025-09-05,yes,75
456,185,9,2025-07-30,yes,75
457,63,9,2025-08-26,yes,75
458,82,9,2025-08-13,no,75
459,179,9,2025-08-29,yes,75
460,125,9,2025-08-01,yes,75
461,113,9,2025-09-08,yes,75
462,155,9,2025-08-27,yes,75
463,187,9,2025-09-01,yes,75
464,112,9,2025-09-22,yes,75
465,25,9,2025-08-15,yes,75
466,87,9,2025-09-14,yes,75
467,163,9,2025-08-14,yes,75
468,183,10,2025-10-19,yes,50
469,167,10,2025-12-04,no,50
470,106,10,2025-11-29,yes,50
471,47,10,2025-12-05,yes,50
472,96,10,2025-10-10,no,50
473,15,10,2025-12-01,yes,50
474,59,10,2025-10-13,yes,50
475,86,10,2025-10-13,yes,50
476,139,10,2025-12-04,yes,50
477,87,10,2025-11-22,no,50
478,36,10,2025-11-08,no,50
479,181,10,2025-11-11,yes,50
480,197,10,2025-11-09,yes,50
481,60,10,2025-11-25,no,50
482,19,10,2025-10-31,no,50
483,126,10,2025-10-12,no,50
484,91,10,2025-10-29,yes,50
485,83,10,2025-10-28,yes,50
486,119,10,2025-10-14,no,50
487,185,10,2025-10-11,no,50
488,188,10,2025-11-18,yes,50
489,97,10,2025-10-30,yes,50
490,118,10,2025-11-12,yes,50
491,45,10,2025-10-30,yes,50
492,68,10,2025-12-05,yes,50
493,113,10,2025-11-01,yes,50
494,176,10,2025-11-21,no,50
495,3,10,2025-10-24,yes,50
496,14,10,2025-10-07,yes,50
497,152,10,2025-10-31,no,50
498,26,10,2025-11-04,yes,50
499,159,10,2025-11-29,yes,50
500,191,11,2024-09-08,yes,0
501,98,11,2024-09-25,yes,0
502,29,11,2024-10-11,no,0
503,10,11,2024-09-01,yes,0
504,120,11,2024-10-09,yes,0
505,159,11,2024-09-30,yes,0
506,125,11,2024-09-29,yes,0
507,72,11,2024-10-12,yes,0
508,168,11,2024-09-09,no,0
509,54,11,2024-08-27,yes,0
510,51,11,2024-09-15,yes,0
511,105,11,2024-10-17,no,0
512,24,11,2024-08-27,yes,0
513,127,11,2024-09-24,no,0
514,81,11,2024-09-11,yes,0
515,31,11,2024-09-23,yes,0
516,18,11,2024-09-20,yes,0
517,57,11,2024-10-08,yes,0
518,158,11,2024-10-20,yes,0
519,147,11,2024-10-03,no,0
520,165,11,2024-10-02,no,0
521,175,11,2024-10-12,yes,0
522,190,11,2024-09-29,yes,0
523,156,11,2024-09-25,yes,0
524,200,11,2024-10-07,yes,0
525,135,11,2024-09-17,yes,0
526,189,11,2024-10-22,yes,0
527,181,11,2024-08-26,yes,0
528,103,11,2024-10-21,no,0
529,25,11,2024-10-02,no,0
530,172,11,2024-09-05,no,0
531,182,11,2024-09-01,yes,0
532,174,11,2024-08-30,yes,0
533,2,11,2024-10-09,yes,0
534,35,11,2024-10-21,yes,0
535,199,11,2024-09-02,yes,0
536,40,11,2024-10-03,no,0
537,126,11,2024-09-20,yes,0
538,59,11,2024-09-09,yes,0
539,66,11,2024-10-22,yes,0
540,128,11,2024-10-16,yes,0
541,116,11,2024-09-08,no,0
542,137,11,2024-09-22,yes,0
543,33,11,2024-09-03,yes,0
544,184,11,2024-10-12,yes,0
545,97,11,2024-10-17,yes,0
546,53,11,2024-08-31,yes,0
547,177,11,2024-09-23,no,0
548,123,11,2024-10-04,yes,0
549,68,11,2024-10-15,no,0
550,117,11,2024-08-24,no,0
551,187,11,2024-09-11,yes,0
552,77,11,2024-09-06,yes,0
553,20,11,2024-09-18,yes,0
554,154,12,2025-08-05,yes,100
555,151,12,2025-09-05,yes,100
556,17,12,2025-08-15,yes,100
557,50,12,2025-08-05,no,100
558,69,12,2025-09-09,yes,100
559,40,12,2025-08-12,yes,100
560,65,12,2025-07-27,no,100
561,128,12,2025-08-31,yes,100
562,63,12,2025-09-06,no,100
563,56,12,2025-09-09,yes,100
564,130,12,2025-08-03,yes,100
565,135,12,2025-08-14,no,100
566,117,12,2025-08-31,no,100
567,107,12,2025-08-04,no,100
568,27,12,2025-08-11,no,100
569,43,12,2025-08-01,yes,100
570,48,12,2025-09-08,yes,100
571,59,12,2025-08-20,no,100
572,155,12,2025-08-17,yes,100
573,198,12,2025-07-26,no,100
574,153,12,2025-08-30,yes,100
